Model,Threshold,ROC_AUC,PR_AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
RandomForest,0.7766666666666666,0.9999986756036295,0.9999516306787412,0.999756549259649,0.9994019138755981,0.9922802850356295,0.9958283671036949,111643,2,26,3342
IsolationForest,0.43240044654597876,0.8525543311005819,0.15472816726678598,0.5030648709276343,0.05528178330466993,0.9925771971496437,0.10473057644110277,54516,57129,25,3343
LogReg,0.9693109689178979,0.9998438063300614,0.9929338016010744,0.999278342448245,0.9837997054491899,0.9916864608076009,0.9877273399378974,111590,55,28,3340
